英雄名,职业名,职业,生命,攻击,智力,防御,魔防,技巧,生命带小数,攻击带小数,智力带小数,防御带小数,魔防带小数,技巧带小数,铸纹生命,铸纹攻击,铸纹智力,铸纹防御,铸纹魔防,铸纹技巧,铸纹特效,铸纹特效生命,铸纹特效攻击,铸纹特效智力,铸纹特效防御,铸纹特效魔防,铸纹特效技巧,兵修生命,兵修攻击,兵修防御,兵修魔防,心之羁绊4,心之羁绊7,英雄头像,职业图标
塞姆,碎刃战皇,魔物,4792,616,226,352,253,191,4791.85625,616.19665,226.372887,351.85455,253.015728,191.2135,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.35,0.2,0.15,部队血量高于80%时，遭受暴击率降低10%。,受到攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/5/54/2nabui9f06z07ofn6bjzwwzsu299kd0.png/82px-%E5%A4%B4%E5%83%8F_%E5%A1%9E%E5%A7%86.png,https://patchwiki.biligame.com/images/langrisser/f/f5/jtug5y6g75i6833lqx7y046grsymppz.png
席尔娜,遂梦之誓,法师,3968,256,601,246,375,99,3968.058,255.5982,600.806128,246.340144,375.10169,99.47964,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.3,0.4,0.2,0.15,主动攻击进入战斗时，部队遭受伤害降低10%。,受到攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/9/93/hvct06k8kdu0c96q4rlhu8r4dl9hm3e.png/82px-%E5%A4%B4%E5%83%8F_%E5%B8%AD%E5%B0%94%E5%A8%9C.png,https://patchwiki.biligame.com/images/langrisser/1/14/nag73iaujh413w5f0wzkrvrwijlu35j.png
席尔娜,梦之女王,魔物,4301,256,601,265,375,130,4301.42025,255.5982,600.806128,264.870656,375.10169,129.55488,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.3,0.4,0.2,0.15,"受到具有“弱化效果""的部队攻击进入战斗时，遭受伤害降低10%。","与具有""弱化效果""的部队战斗时，伤害提升10%。",https://patchwiki.biligame.com/images/langrisser/thumb/9/93/hvct06k8kdu0c96q4rlhu8r4dl9hm3e.png/82px-%E5%A4%B4%E5%83%8F_%E5%B8%AD%E5%B0%94%E5%A8%9C.png,https://patchwiki.biligame.com/images/langrisser/f/f5/jtug5y6g75i6833lqx7y046grsymppz.png
霞,断命之天神,刺客,4201,560,244,315,280,252,4201.40175,559.67433,244.28976,314.94625,279.623176,251.59015,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.25,0.35,0.2,0.2,受到攻击进入战斗时，遭受物理伤害降低10%。,主动攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/f/f9/tj8949qu9hp81wfs0a1f7drkz4jcloz.png/82px-%E5%A4%B4%E5%83%8F_%E9%9C%9E.png,https://patchwiki.biligame.com/images/langrisser/a/ac/cpm1rkszzarlqci2nuz59ddwjw04bg6.png
女天狗,缭乱的天狗姬,飞兵,4406,607,222,307,329,161,4406.35197,607.158589,222.266668,306.986746,328.804399,160.6605,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.2,0.4,0.15,0.25,与血量百分比低于自身的部队交战时，进入战斗后遭受伤害降低10%。,部队血量100%时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/4/42/964frpmeg6jke6pjbj6fgbo8y2frzmi.png/82px-%E5%A4%B4%E5%83%8F_%E5%A5%B3%E5%A4%A9%E7%8B%97.png,https://patchwiki.biligame.com/images/langrisser/5/57/dyglb5nlud5vnkanatxz3qgp6on482t.png
玛莉·萝丝,小恶魔女仆,步兵,4552,590,267,343,276,175,4552.387,590.468912,266.90664,343.491712,276.368168,174.53098,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.4,0.2,0.1,主动攻击进入战斗时，部队遭受伤害降低10%。,受到攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/e/eb/fevue17g39g2z4udp8e9pzzgd4clj00.png/82px-%E5%A4%B4%E5%83%8F_%E7%8E%9B%E8%8E%89%C2%B7%E8%90%9D%E4%B8%9D.png,https://patchwiki.biligame.com/images/langrisser/2/2b/k9u2vm161ro6vg21nynagc2up9ag1wo.png
断翼鸟,暗夜君王,刺客,3852,569,251,299,292,269,3851.53632,569.023485,251.08512,299.165,292.161182,268.68315,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.2,0.4,0.15,0.25,遭受范围伤害降低10%。,主动攻击血量百分比低于自身的部队时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/210e6my0do34oaij8jaqu6tufkbr95v.png/82px-%E5%A4%B4%E5%83%8F_%E6%96%AD%E7%BF%BC%E9%B8%9F.png,https://patchwiki.biligame.com/images/langrisser/a/ac/cpm1rkszzarlqci2nuz59ddwjw04bg6.png
断翼鸟,风暴主宰,弓兵,3852,569,251,269,318,239,3851.53632,569.023485,251.08512,268.769375,317.563741,238.66095,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.2,0.4,0.15,0.25,与血量百分比低于自身的部队交战时，进入战斗后遭受伤害降低10%。,与具有“弱化效果”的部队战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/210e6my0do34oaij8jaqu6tufkbr95v.png/82px-%E5%A4%B4%E5%83%8F_%E6%96%AD%E7%BF%BC%E9%B8%9F.png,https://patchwiki.biligame.com/images/langrisser/3/3a/5upgpk3aic51zn1xyfg5kqftt45hrck.png
兰黛尔,深海复仇者,法师,4159,270,580,278,365,175,4159.2195,270.014212,580.417784,278.125664,365.215744,174.78825,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.3,0.3,0.1,0.3,主动攻击进入战斗时，部队遭受伤害降低10%。,受到魔法攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/0/02/0kxvd6qt2prpmshn7cncekdgn6oh2d8.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%B0%E9%BB%9B%E5%B0%94.png,https://patchwiki.biligame.com/images/langrisser/1/14/nag73iaujh413w5f0wzkrvrwijlu35j.png
兰黛尔,匣梦枭魔,魔物,4492,244,580,313,353,175,4492.4875,244.28976,580.417784,313.272932,353.006144,174.78825,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.3,0.3,0.1,0.3,被血量百分比高于自身的部队攻击时，进入战斗后遭受伤害降低10%。,受到物理攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/0/02/0kxvd6qt2prpmshn7cncekdgn6oh2d8.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%B0%E9%BB%9B%E5%B0%94.png,https://patchwiki.biligame.com/images/langrisser/f/f5/jtug5y6g75i6833lqx7y046grsymppz.png
炎龙破灭者,炎狱掌控者,典藏魔物,5187,580,271,415,261,90,5187.41628,579.999704,271.41972,415.38125,261.068848,89.96,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.4,0.3,0.3,0.1,部队血量低于70%时，进入战斗后遭受伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/1/13/42t300h4xv5633b2lobk5ynyamkemnr.png/82px-%E5%A4%B4%E5%83%8F_%E7%82%8E%E9%BE%99%E7%A0%B4%E7%81%AD%E8%80%85.png,https://patchwiki.biligame.com/images/langrisser/c/cf/62xr68xivqrmgh5s1meoxqmcrs4qwqr.png
炎龙破灭者,赤曜征服者,典藏飞兵,4853,580,247,383,272,121,4852.659,579.999704,246.950821,382.629375,271.779548,120.5464,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.4,0.3,0.3,0.1,主动攻击进入战斗时，部队遭受伤害降低10%。,与具有“弱化效果”的部队战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/1/13/42t300h4xv5633b2lobk5ynyamkemnr.png/82px-%E5%A4%B4%E5%83%8F_%E7%82%8E%E9%BE%99%E7%A0%B4%E7%81%AD%E8%80%85.png,https://patchwiki.biligame.com/images/langrisser/9/99/nkzkfskce6uzloibn99w3qb5gtsjln7.png
冰渊凌御者,凌踏的冰爪,典藏骑兵,4523,253,589,326,291,180,4523.005,253.31592,588.5852,325.535468,291.28452,179.93625,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.35,0.4,0.2,0.15,主动攻击进入战斗时，部队遭受伤害降低10%。,与血量百分比低于自身的部队交战时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/f/f2/t3fjdf0fr55wlqgovst7j2jhm7gv4tn.png/82px-%E5%A4%B4%E5%83%8F_%E5%86%B0%E6%B8%8A%E5%87%8C%E5%BE%A1%E8%80%85.png,https://patchwiki.biligame.com/images/langrisser/c/c9/3tevkn5vnit0w58xuyczov2zicub36f.png
冰渊凌御者,御空的霜翼,典藏飞兵,4204,253,589,289,346,134,4203.7042,253.31592,588.5852,288.751136,346.10565,134.3524,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.35,0.4,0.2,0.15,受到具有“弱化效果”的部队攻击进入战斗时，遭受伤害降低10%。,在天空时，范围伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/f/f2/t3fjdf0fr55wlqgovst7j2jhm7gv4tn.png/82px-%E5%A4%B4%E5%83%8F_%E5%86%B0%E6%B8%8A%E5%87%8C%E5%BE%A1%E8%80%85.png,https://patchwiki.biligame.com/images/langrisser/9/99/nkzkfskce6uzloibn99w3qb5gtsjln7.png
萨芙琳,元素召灵使,法师,3655,313,589,262,352,100,3654.68384,312.538226,589.461045,261.900603,351.535468,100.2365,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.2,0.4,0.15,0.25,部队血量低于70%时，进入战斗后遭受伤害降低10%。,范围伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/d/df/e9ivqvzu3r8ku72898koibsylmel1kt.png/82px-%E5%A4%B4%E5%83%8F_%E8%90%A8%E8%8A%99%E7%90%B3.png,https://patchwiki.biligame.com/images/langrisser/1/14/nag73iaujh413w5f0wzkrvrwijlu35j.png
萨芙琳,自然共鸣者,僧侣,3958,313,589,280,326,150,3957.74972,312.538226,589.461045,280.200872,326.318536,150.35475,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.2,0.4,0.15,0.25,部队血量100%时，遭受伤害降低10%。,与血量百分比低于自身的部队交战时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/d/df/e9ivqvzu3r8ku72898koibsylmel1kt.png/82px-%E5%A4%B4%E5%83%8F_%E8%90%A8%E8%8A%99%E7%90%B3.png,https://patchwiki.biligame.com/images/langrisser/3/3c/allgsv8p0tse5d7zd4edr2vfy1da2le.png
诺诺琳,海礁统帅,步兵,4786,588,249,335,281,158,4786.16175,587.999704,248.80284,335.4042,280.654072,158.45232,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.35,0.25,0.15,被血量百分比高于自身的部队攻击时，进入战斗后遭受伤害降低10%。,在水中时，物理伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/9/99/5p344dpaefbqpwqkni0seubhzb0b5ju.png/82px-%E5%A4%B4%E5%83%8F_%E8%AF%BA%E8%AF%BA%E7%90%B3.png,https://patchwiki.biligame.com/images/langrisser/2/2b/k9u2vm161ro6vg21nynagc2up9ag1wo.png
诺诺琳,驭潮将星,水兵,4439,588,226,358,261,132,4438.90887,587.999704,226.372887,357.798,260.676153,132.43776,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.35,0.25,0.15,在水中时，遭受物理伤害降低10%。,受到近战攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/9/99/5p344dpaefbqpwqkni0seubhzb0b5ju.png/82px-%E5%A4%B4%E5%83%8F_%E8%AF%BA%E8%AF%BA%E7%90%B3.png,https://patchwiki.biligame.com/images/langrisser/d/d0/c1pkxu78pkarz4jej3l9ar096zfxvwy.png
伊莉娅,巫师,法师,3648,251,578,252,365,100,3648.234375,251.08512,578.293875,252.003802,364.63579,100.21193,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.2,0.4,0.15,0.25,部队血量低于70%时，进入战斗后遭受伤害降低10%。,本部队有5个以上增益效果时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/a/a4/5q14faikyvuydbdp5fw5itfydohjyqf.png/82px-%E5%A4%B4%E5%83%8F_%E4%BC%8A%E8%8E%89%E5%A8%85.png,https://patchwiki.biligame.com/images/langrisser/1/14/nag73iaujh413w5f0wzkrvrwijlu35j.png
伊莉娅,神运圣女,僧侣,3814,278,578,282,342,131,3814.35,277.525144,578.293875,281.779548,341.563741,130.50856,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.2,0.4,0.15,0.25,部队血量100%时，遭受伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/a/a4/5q14faikyvuydbdp5fw5itfydohjyqf.png/82px-%E5%A4%B4%E5%83%8F_%E4%BC%8A%E8%8E%89%E5%A8%85.png,https://patchwiki.biligame.com/images/langrisser/3/3c/allgsv8p0tse5d7zd4edr2vfy1da2le.png
阿莉娅,圣者,僧侣,3152,294,565,292,360,96,3151.60968,293.887984,565.19232,292.063872,360.33606,95.79583,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.25,0.35,0.15,0.25,本部队有5个以上增益效果时，进入战斗后遭受伤害降低10%。,与血量百分比低于自身的部队交战时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/t0mocyng59fwptx2yu94sg449mirukj.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E8%8E%89%E5%A8%85.png,https://patchwiki.biligame.com/images/langrisser/3/3c/allgsv8p0tse5d7zd4edr2vfy1da2le.png
阿莉娅,神眷者,僧侣,3446,270,565,271,360,96,3445.66669,270.014212,565.19232,271.015728,360.33606,95.79583,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.25,0.35,0.15,0.25,部队血量低于70%时，进入战斗后遭受伤害降低10%。,本部队有5个以上增益效果时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/t0mocyng59fwptx2yu94sg449mirukj.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E8%8E%89%E5%A8%85.png,https://patchwiki.biligame.com/images/langrisser/3/3c/allgsv8p0tse5d7zd4edr2vfy1da2le.png
恩雅,星之女王,僧侣,3451,249,575,265,371,103,3450.572495,248.80284,574.836005,264.597256,370.96394,103.16345,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.2,0.35,0.15,0.3,部队血量高于80%时，遭受暴击率降低10%。,治疗效果+10%。,https://patchwiki.biligame.com/images/langrisser/thumb/c/c8/26g7gy7spomnd0p2pcrl0datwjqnzcc.png/82px-%E5%A4%B4%E5%83%8F_%E6%81%A9%E9%9B%85.png,https://patchwiki.biligame.com/images/langrisser/3/3c/allgsv8p0tse5d7zd4edr2vfy1da2le.png
恩雅,永序之誓,法师,3765,249,575,245,396,103,3765.351375,248.80284,574.836005,245.227919,395.6486,103.16345,1000,30,150,90,90,20,无,0,0,0,0,0,0,0.2,0.35,0.15,0.3,主动攻击进入战斗时，部队遭受伤害降低10%。,本部队有5个以上的强化状态时，战斗中伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/c/c8/26g7gy7spomnd0p2pcrl0datwjqnzcc.png/82px-%E5%A4%B4%E5%83%8F_%E6%81%A9%E9%9B%85.png,https://patchwiki.biligame.com/images/langrisser/1/14/nag73iaujh413w5f0wzkrvrwijlu35j.png
突击队长&天才婴儿,突击队长,步兵,4821,575,260,309,320,137,4820.79823,574.779968,260.11128,309.39018,320.251054,137.43776,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.4,0.1,0.3,0.2,自身处于[危险范围]内，遭受暴击率降低10%。,本部队有6个以上强化状态时，范围伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/0/0e/073cdqpolgywlmb9b9z7czqqrq1k5md.png/82px-%E5%A4%B4%E5%83%8F_%E7%AA%81%E5%87%BB%E9%98%9F%E9%95%BF%26%E5%A4%A9%E6%89%8D%E5%A9%B4%E5%84%BF.png,https://patchwiki.biligame.com/images/langrisser/2/2b/k9u2vm161ro6vg21nynagc2up9ag1wo.png
突击队长&天才婴儿,天才婴儿,步兵,4501,575,260,335,285,163,4500.71275,574.779968,260.11128,334.51359,285.240208,163.45232,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.4,0.1,0.3,0.2,遭受范围伤害降低10%。,部队血量低于70%时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/0/0e/073cdqpolgywlmb9b9z7czqqrq1k5md.png/82px-%E5%A4%B4%E5%83%8F_%E7%AA%81%E5%87%BB%E9%98%9F%E9%95%BF%26%E5%A4%A9%E6%89%8D%E5%A9%B4%E5%84%BF.png,https://patchwiki.biligame.com/images/langrisser/2/2b/k9u2vm161ro6vg21nynagc2up9ag1wo.png
小刀马克&忍者Ginzu,忍者Ginzu,刺客,3902,560,247,299,268,341,3902.38965,559.945395,246.57204,299.195896,267.845774,340.77049,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.25,0.4,0.2,0.15,自身处于[危险范围]内，遭受暴击率降低10%。,部队血量100%时，暴击率提升10%,https://patchwiki.biligame.com/images/langrisser/thumb/5/59/q3l2cljquz47xjkfno8u0qeyya99of6.png/82px-%E5%A4%B4%E5%83%8F_%E5%B0%8F%E5%88%80%E9%A9%AC%E5%85%8B%26%E5%BF%8D%E8%80%85Ginzu.png,https://patchwiki.biligame.com/images/langrisser/a/ac/cpm1rkszzarlqci2nuz59ddwjw04bg6.png
小刀马克&忍者Ginzu,小刀马克,刺客,4221,560,247,311,289,262,4220.54125,559.945395,246.57204,310.591046,289.349776,262.11139,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.25,0.4,0.2,0.15,受到远程攻击时，遭受魔法伤害降低10%。,主动攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/5/59/q3l2cljquz47xjkfno8u0qeyya99of6.png/82px-%E5%A4%B4%E5%83%8F_%E5%B0%8F%E5%88%80%E9%A9%AC%E5%85%8B%26%E5%BF%8D%E8%80%85Ginzu.png,https://patchwiki.biligame.com/images/langrisser/a/ac/cpm1rkszzarlqci2nuz59ddwjw04bg6.png
席昂,剑士统帅,步兵,4968,594,237,322,289,145,4968.12825,594.079376,237.4944,322.06324,289.28452,145.06551,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.4,0.15,0.2,部队血量100%时，遭受伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/6/60/s1dlqvjcqn4pg5no0xxwm7d07ojpaxe.png/82px-%E5%A4%B4%E5%83%8F_%E5%B8%AD%E6%98%82.png,https://patchwiki.biligame.com/images/langrisser/2/2b/k9u2vm161ro6vg21nynagc2up9ag1wo.png
席昂,骑士统帅,骑兵,4617,594,216,299,270,122,4617.37473,594.079376,216.08392,298.99448,270.373355,122.06968,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.4,0.15,0.2,主动攻击进入战斗时，部队遭受伤害降低10%。,受到近战攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/6/60/s1dlqvjcqn4pg5no0xxwm7d07ojpaxe.png/82px-%E5%A4%B4%E5%83%8F_%E5%B8%AD%E6%98%82.png,https://patchwiki.biligame.com/images/langrisser/a/a6/mm81uv30343mz2uyjezjsalzlpj421z.png
阿尔法,剑士统帅,步兵,3933,579,256,321,253,154,3933.25608,578.974736,255.5982,321.195896,253.3066,154.26327,1000,150,30,90,90,20,攻击、防御+5%，免疫被动技能失效。[紫晶裂爆]技能伤害提升10%。,0,0.05,0,0.05,0,0,0.1,0.4,0.25,0.25,主动攻击进入战斗时，部队遭受伤害降低10%。,受到近战攻击进入战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/2/21/s86wp4xdca7iq446l4f5achsmlqdng0.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E5%B0%94%E6%B3%95.png,https://patchwiki.biligame.com/images/langrisser/2/2b/k9u2vm161ro6vg21nynagc2up9ag1wo.png
阿尔法,紫晶统帅,枪兵,4863,579,233,357,220,172,4863.12957,578.974736,232.555635,357.432473,219.6028,172.08575,1000,150,30,90,90,20,攻击、防御+5%，免疫被动技能失效。[紫晶裂爆]技能伤害提升10%。,0,0.05,0,0.05,0,0,0.1,0.4,0.25,0.25,受到远程攻击进入战斗时，遭受伤害降低10%。,与具有弱化效果的部队战斗时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/2/21/s86wp4xdca7iq446l4f5achsmlqdng0.png/82px-%E5%A4%B4%E5%83%8F_%E9%98%BF%E5%B0%94%E6%B3%95.png,https://patchwiki.biligame.com/images/langrisser/2/2a/saybrdjne9pmhsrl3ejfs4qw6xo4dzy.png
