装备名称,类别,生命,攻击,智力,防御,魔防,技巧,基础加成,满级特效,常驻生命,常驻攻击,常驻智力,常驻防御,常驻魔防,常驻技巧,满血生命,满血攻击,满血智力,满血防御,满血魔防,满血技巧,80血生命,80血攻击,80血智力,80血防御,80血魔防,80血技巧,50血生命,50血攻击,50血智力,50血防御,50血魔防,50血技巧,50血以下生命,50血以下攻击,50血以下智力,50血以下防御,50血以下魔防,50血以下技巧,图片地址
信者的冕冠(卢古耐尔专属),头饰,364,0,0,0,65,0,生命+364，魔防+65,生命+10%。友军死亡时，伤害来源获得4层[罪孽]。敌军拥有4层及以上[罪孽]时，与[僧侣]交战时造成伤害降低15%。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/6/64/hghlyc2nn3po91j4dzxc4t3wy1z7h7i.png/59px-%E4%BF%A1%E8%80%85%E7%9A%84%E5%86%95%E5%86%A0.png
元气召唤者(梅露帕妮专属),武器,437,0,107,0,0,0,生命+437，智力+107,治疗效果+15%。自身获得[指挥]：相邻1格所有友军免疫“伤口诅咒”、“无法被治疗”。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/0/07/18vllwkztayu91otw4ou2hc73zy502x.png/56px-%E5%85%83%E6%B0%94%E5%8F%AC%E5%94%A4%E8%80%85.png
先灵的呢喃(波莉阿鲁专属),头饰,583,0,0,0,48,0,生命+583，魔防+48,防御+10%。自身每有1个技能处于冷却，部队造成伤害提升10%。成功使敌军触发[位移]效果后，获得“[指挥]周围2格范围内所有敌军遭受治疗效果降低30%”，持续1回合。,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/2/24/7ehp9dq0twx0zjg9kwt39nm59znmmab.png/58px-%E5%85%88%E7%81%B5%E7%9A%84%E5%91%A2%E5%96%83.png
光之面纱,饰品,509,0,0,0,48,0,生命+509，魔防+48,魔防+8%。免疫“防御、魔防降低”。,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/a/a9/f1psqof0n2xfpbdm2rrjvnsa0v94t31.png/59px-%E5%85%89%E4%B9%8B%E9%9D%A2%E7%BA%B1.png
光辉头饰,头饰,364,0,0,0,65,0,生命+364，魔防+65,部队生命100%时，魔防和防御提升15%。,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/2/23/s0bqt75sxt17eav2jj2whiyuj9ogqde.png/59px-%E5%85%89%E8%BE%89%E5%A4%B4%E9%A5%B0.png
兰德维蒂玫瑰,饰品,0,0,75,0,43,0,智力+75，魔防+43,智力+8%。主动攻击造成伤害时，有50%的概率使敌军损失1个强化效果。,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/f/f7/63ymnj9icq5gjgu9ixtmf0hekusd09u.png/56px-%E5%85%B0%E5%BE%B7%E7%BB%B4%E8%92%82%E7%8E%AB%E7%91%B0.png
兰芳特的次选(兰芳特专属),头饰,583,0,0,0,48,0,生命+583，魔防+48,防御+10%。英雄天赋范围+1。,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/d/d5/lvo1yz6quswmnc8pt06u8up8csce6c0.png/59px-%E5%85%B0%E8%8A%B3%E7%89%B9%E7%9A%84%E6%AC%A1%E9%80%89.png
冠冕之裘,衣服,583,0,0,54,0,0,生命+583，防御+54,生命+10%。生命100%时，遭受暴击率降低100%。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/2/2a/myityze8zixlk28dinoqhsaxxulovsl.png/51px-%E5%86%A0%E5%86%95%E4%B9%8B%E8%A3%98.png
冥府渡神,头饰,364,0,0,0,65,0,生命+364，魔防+65,防御+10%。行动结束时，有50%的概率使自身3格范围内的1个敌军“遭受所有伤害”提升15%，持续1回合。,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/b/bc/qr1n80d7cdw6v0o67rpml6ut8edfbb2.png/59px-%E5%86%A5%E5%BA%9C%E6%B8%A1%E7%A5%9E.png
冥澜之怒,头饰,583,0,0,0,48,0,生命+583，魔防+48,生命+10%。被攻击进入战斗时，攻击提升8%。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/9/9e/6o89su9zgu8y0d8qrrcb3okau81ng9u.png/50px-%E5%86%A5%E6%BE%9C%E4%B9%8B%E6%80%92.png
冰锋战甲,衣服,437,0,0,65,0,0,生命+437，防御+65,生命、魔防+5%。主动进入战斗时，战后对敌军造成1次固定伤害，伤害值为英雄魔防的1.5倍。,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/3/33/mggrgpp94jatxxs53pihyqz4lm453ml.png/58px-%E5%86%B0%E9%94%8B%E6%88%98%E7%94%B2.png
冰霜之刃,武器,0,107,0,0,0,43,攻击+107，技巧+43,攻击+10%。主动进入战斗时，战后有50%的概率使敌军移动力降低2格，持续1回合。,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/3/35/8wlmwe8mpihdv2qtzhvdpqk1ouu5ibx.png/59px-%E5%86%B0%E9%9C%9C%E4%B9%8B%E5%88%83.png
创世法则,饰品,509,0,75,0,0,0,生命+509，智力+75,智力+8%，主动攻击进入战斗时，若使用的技能对敌方英雄有特效，则英雄造成魔法伤害提升10%,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/0/09/n5rvr79pow5ddtnx4qn83g2s2y3nhoc.png/56px-%E5%88%9B%E4%B8%96%E6%B3%95%E5%88%99.png
利古里亚之冠(亚鲁特缪拉专属),头饰,437,0,0,0,59,0,生命+437，魔防+59,防御、魔防+5%。对自己施加的强化效果持续回合+1。,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/c/c2/fol0yd4miz7kw8rs1lxrdi9pygcepwb.png/59px-%E5%88%A9%E5%8F%A4%E9%87%8C%E4%BA%9A%E4%B9%8B%E5%86%A0.png
勇者的手工课(奥利佛专属),头饰,437,0,0,0,59,0,生命+437，魔防+59,生命、魔防+5%。部队造成暴击后对敌军施加1个强力弱化效果并偷取1个强化效果。,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/2/25/tfz0oz59rcotho94lpbnqomcsx2qdzr.png/50px-%E5%8B%87%E8%80%85%E7%9A%84%E6%89%8B%E5%B7%A5%E8%AF%BE.png
华击团制服,衣服,509,0,0,59,0,0,生命+509，防御+59,防御、魔防+5%。被远程攻击进入战斗前，对故军造成固定伤害，伤害值为英雄魔防的1.5倍。,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/3/38/4rx46jelcociddtutssxpxnp2q03wg1.png/54px-%E5%8D%8E%E5%87%BB%E5%9B%A2%E5%88%B6%E6%9C%8D.png
卡奥斯的赐福(波赞鲁专属),衣服,583,0,0,54,0,0,生命+583，防御+54,魔防+10%。主动对敌军造成伤害后，对其施加1个随机的弱化效果。,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/7/75/q9urvc9r2ckrhouk852ruqxwv8u6cx8.png/57px-%E5%8D%A1%E5%A5%A5%E6%96%AF%E7%9A%84%E8%B5%90%E7%A6%8F.png
卡尔萨斯之冠(兰斯专属),头饰,583,0,0,0,48,0,生命+583，魔防+48,生命+5%。自身为[混合部队]时，部队伤害额外提升20%。,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/9/9a/jfoj9x4vfhpvnxmxc7td3np1vtfmcae.png/59px-%E5%8D%A1%E5%B0%94%E8%90%A8%E6%96%AF%E4%B9%8B%E5%86%A0.png
卡尔萨斯战盔(克拉蕾特专属),头饰,437,0,0,0,59,0,生命+437，魔防+59,生命+10%。 周围2格没有友军时，行动结束恢复15%生命，被近战攻击进入战斗造成伤害提升20%，遭受伤害降低20%。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/6/65/2h7kgs8g10y42r0xj02rrqz6gylcr1p.png/59px-%E5%8D%A1%E5%B0%94%E8%90%A8%E6%96%AF%E6%88%98%E7%9B%94.png
卡昆西斯之冠(雪露法妮尔专属),头饰,364,0,0,0,65,0,生命+364，魔防+65,魔防+10%。行动结束时，有30%概率使得自己获得“技能射程+1，范围+1”，持续1回合。,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/9/9a/et3sm0wixcamqtv1cpg9atww5zpuqiv.png/59px-%E5%8D%A1%E6%98%86%E8%A5%BF%E6%96%AF%E4%B9%8B%E5%86%A0.png
原质之铠,衣服,437,0,0,65,0,0,生命+437，防御+65,部队生命50%以上时，防御、魔防提升8%。部队生命50%以下时，攻击、技巧提升8%。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0,0.08,0,0,0,0.08,https://patchwiki.biligame.com/images/langrisser/thumb/9/99/0sqi8enfkzg1bstiv4qu43nhzvaa1cd.png/59px-%E5%8E%9F%E8%B4%A8%E4%B9%8B%E9%93%A0.png
原质头盔,头饰,583,0,0,0,48,0,生命+583，魔防+48,部队生命50%以上时，防御、魔防提升8%。部队生命50%以下时，攻击、技巧提升8%。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0,0.08,0,0,0,0.08,https://patchwiki.biligame.com/images/langrisser/thumb/e/e1/krk9jhbxyy0qnnxd3gy2baadr4axt2z.png/52px-%E5%8E%9F%E8%B4%A8%E5%A4%B4%E7%9B%94.png
古巨美的馈赠(古巨拉专属),头饰,583,0,0,0,48,0,生命+583，魔防+48,生命+5%。战斗后，恢复自身部队10%的生命。携带技能无视COST限制。,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/5/54/fvy4lfzqa4p4iy3hitiky70kjibgm6d.png/59px-%E5%8F%A4%E5%B7%A8%E7%BE%8E%E7%9A%84%E9%A6%88%E8%B5%A0.png
古旧系带(树之贤者专属),头饰,364,0,0,0,65,0,生命+364，魔防+65,生命+10%。部队普通攻击射程+1。主动攻击进入战斗后对目标及其周围1格施加[炫光]，持续1回合。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/e/e2/i34cci079t2wcr6fm79rwuiydejardb.png/58px-%E5%8F%A4%E6%97%A7%E7%B3%BB%E5%B8%A6.png
同心的守护(杰利奥鲁&蕾拉专属),武器,0,107,107,0,0,0,攻击+107，智力+107,攻击、智力+10%。英雄的普通攻击射程+1。英雄主动攻击进入战斗，战后为生命最低的友军部队恢复生命，恢复量为施法者攻击+智力之和的1倍。触发再行动时，身上携带的强化状态回合数不会减少。,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/5/5a/0377uc3tt0lrkq24wtnjw26usop5lof.png/59px-%E5%90%8C%E5%BF%83%E7%9A%84%E5%AE%88%E6%8A%A4.png
同盟影衣,衣服,509,0,0,59,0,0,生命+509，防御+59,生命+10%。处于非混合部队时，英雄防御，魔防提升8%。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/a/ab/n309pgqsbb7497kpj3fkqjweol4mqb5.png/51px-%E5%90%8C%E7%9B%9F%E5%BD%B1%E8%A1%A3.png
吸血鬼假面,头饰,583,0,0,0,48,0,生命+583，魔防+48,防御+10%。行动结束时，50%概率使自身2格范围内的1个敌军“防御”降低20%，持续1回合。,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/6/68/qp7o7ye12xrzv9vz4lgho08ez8rgxx5.png/59px-%E5%90%B8%E8%A1%80%E9%AC%BC%E5%81%87%E9%9D%A2.png
命定的王剑(席昂专属),武器,437,107,0,0,0,0,生命+437，攻击+107,攻击+10%。每场战斗开始时获得[王命]。拥有[王命]或[天命]时主动攻击进入战斗无法被一击致命，移动时所有可以通过的地形都视为“平地”。,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/1/1a/masex8xnisaeuc23c5pez8en34cblv1.png/59px-%E5%91%BD%E5%AE%9A%E7%9A%84%E7%8E%8B%E5%89%91.png
咒溯摇铃,饰品,0,75,0,43,0,0,攻击+75，防御+43,攻击、技巧+8%。使用技能攻击进入战斗时，若目标周围1格范围内没有其他敌军，战后恢复15%的最大生命并可以选择传送到回合开始的位置（[触发冷却]传送效果需要间隔3回合才可以再次触发）。,0,0.08,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/9/9b/nsostwvnwt67irikk1ut8pvlgjd0bb8.png/56px-%E5%92%92%E6%BA%AF%E6%91%87%E9%93%83.png
唤灵礼帽(凯尔蒂斯专属),头饰,364,0,0,0,65,0,生命+364，魔防+65,生命+10%。被拥有[魂印]的敌军攻击进入战斗后恢复部队20%的生命。击杀敌军召唤的画中傀儡造成伤害提升10%，遭受伤害降低10%。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/0/01/on1jd8cblijsbok7qt58wummc5vypmb.png/57px-%E5%94%A4%E7%81%B5%E7%A4%BC%E5%B8%BD.png
商业头脑(怀特·茜茜专属),头饰,364,0,0,0,65,0,生命+364，魔防+65,生命+10%。回合开始时，有50%的概率获得2个[战争通币]。若没有获得，下回合概率提升50%，获得以后，概率重置为50%。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/7/72/1ptb4bzjh67g5lyk64d5ykbyzdb25fr.png/59px-%E5%95%86%E4%B8%9A%E5%A4%B4%E8%84%91.png
嗜血剑赫伦汀,武器,0,107,0,0,0,43,攻击+107，技巧+43,攻击+5%。主动造成伤害之后，50%概率追加一次固定伤害，伤害值为英雄攻击的1倍。,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/e/e9/4kt7ef1nf2lgfm0yge0jtr7mb22pe6k.png/58px-%E5%97%9C%E8%A1%80%E5%89%91%E8%B5%AB%E4%BC%A6%E6%B1%80.png
噬岩者,武器,0,107,0,0,0,43,攻击+107，技巧+43,防御、魔防+5%。使用范围技能时，生效范围+1。（对范围为1的技能无效，对于直线范围技能仅增加射程）,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/f/f5/4ypqqdgygjopwefv4sirjocdp63f7yu.png/59px-%E5%99%AC%E5%B2%A9%E8%80%85.png
囚徒的齿轮,饰品,509,75,0,0,0,0,生命+509，攻击+75,攻击+8%。和“骑兵”战斗时，攻击额外提升12%。,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/3/3c/b0h8zu7941vqymm2buetvosglp6tei6.png/57px-%E5%9B%9A%E5%BE%92%E7%9A%84%E9%BD%BF%E8%BD%AE.png
回溯之锋,饰品,0,75,0,43,0,0,攻击+75，防御+43,攻击+8%，使用技能进入战斗造成伤害时，30%的概率，使得该技能冷却时间随机降低1-2。,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/5/5f/r6rr5obb6zpvtxvn46sciy7jd6rk0h7.png/59px-%E5%9B%9E%E6%BA%AF%E4%B9%8B%E9%94%8B.png
